Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
330109-4880941.pdf,TREMFYA,"Adults (implied >=18, but since it's FDA labelled age, the output is) FDA labelled age","The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Documentation is required for approval. THREE preferred products: a preferred ustekinumab product, and TWO additional preferred products (a preferred adalimumab product OR Enbrel, and either Rinvoq or Otezla). Authorization of 12 months may be granted for adult members who have previously received a biologic or targeted synthetic drug indicated for the treatment of moderate to severe plaque psoriasis. Authorization of 12 months may be granted for adult members for treatment of moderate to severe plaque psoriasis when any of the following criteria is met. Chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected (if applicable), and chart notes, medical record documentation, or claims history supporting previous medications tried (if applicable), including response to therapy.",3,1,No,Yes,"Quantity Level Limit: 
• Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector:
  o 1 syringe/injector per 56 days
  o Exception limit: 2 syringes/injectors per 28 days
• Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen:
  o 1 syringe/pen per 28 days
  o Exception limit: 6 syringes/pens per 56 days
• Tremfya (guselkumab) 200 mg/2 mL prefilled pen Induction Pack for Crohn’s Disease:
  o Exception limit: 3 cartons (6 pens) per 56 days
* Coverage up to the exception limits may be provided with prior authorization",Dermatologist,12,12.0,Yes,"Continuation of Therapy 
Plaque psoriasis (PsO) 
Authorization of 12 months may be granted for all adult members (including new members) 
who are using the requested medication for moderate to severe plaque psoriasis and who 
achieve or maintain a positive clinical response as evidenced by low disease activity or 
improvement in signs and symptoms of the condition when either of the following is met: 
• Reduction in body surface area (BSA) affected from baseline
• Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, 
scaling, burning, cracking, pain)

Continuation requests 
Chart notes or medical record documentation of decreased body surface area (BSA) 
affected and/or improvement in signs and symptoms.",25
148593-4960549.pdf,STELARA,NA,"For the treatment of moderate to severe plaque psoriasis, member has a contraindication, intolerance or ineffective response to all of the following available equivalent alternative targeted immune modulators (one-month trial): both Ilumya, Stelara, and either Avsola, Inflectra, or Renflexis.",NA,1,No,Yes,NA,Dermatologist,NA,NA,Yes,"For plaque psoriasis (PsO), Aetna considers continuation of ustekinumab, or its biosimilar, medically necessary for all members 6 years or older who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline; or 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain).",50
305252-5002815.pdf,TREMFYA,FDA labelled age,"For guselkumab (Tremfya) in moderate to severe plaque psoriasis, the following step therapy requirements are documented: 
1. For adult members who have previously received a biologic or targeted synthetic drug indicated for the treatment of moderate to severe plaque psoriasis; or 
2. For adult members for treatment of moderate-to-severe plaque psoriasis when any of the following criteria is met (no specific criteria listed for step therapy, but initial approval criteria include previous treatment with a biologic or targeted synthetic drug). 
Continuation of therapy is considered medically necessary when there is a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms, including reduction in body surface area (BSA) affected or improvement in signs and symptoms from baseline.",NA,NA,No,Yes,NA,Dermatologist,Unspecified,NA,Yes,"For all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline; or 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain).",50
176207-4867884.pdf,TREMFYA,"Adults, which corresponds to FDA labelled age for Tremfya.","For TREMFYA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements documented in the policy are not explicitly stated. However, the documentation requirements for prior authorization include:

""Submission of the following information is necessary to initiate the prior authorization review:
Plaque psoriasis (PsO)
Initial requests
Chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected (if applicable).
Chart notes, medical record documentation, or claims history supporting previous medications tried (if applicable), including response to therapy. If therapy is not advisable, documentation of clinical reason to avoid therapy.
Continuation requests
Chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.""

This implies that step therapy may involve trying previous medications or therapies before initiating TREMFYA, but the exact step therapy requirements are not clearly outlined in the provided context.",NA,1,No,Yes,NA,Dermatologist,Unspecified,12.0,Yes,"For TREMFYA, authorization of 12 months may be granted for all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
Reduction in body surface area (BSA) affected from baseline 
Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
324603-4962713.pdf,STELARA,>=6,NA,NA,1,No,Yes,NA,Dermatologist,Unspecified,12.0,Yes,"Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
Reduction in body surface area (BSA) affected from baseline 
Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
378692-5003182.pdf,STELARA,"Based on the provided policy document context, the age-related eligibility criteria for STELARA in Plaque Psoriasis (PsO) is:

""members 6 years of age and older""

This is mentioned in the FDA-approved indications section on Page 1 of the document.","The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. For Plaque psoriasis (PsO), documentation of affected area(s) and body surface area (BSA) affected, and previous medications tried, including response to therapy, is required. Authorization of 12 months may be granted for members 6 years of age and older who have previously received a biologic or targeted synthetic drug indicated for treatment of moderate to severe plaque psoriasis, or when the member meets specific criteria.",1,1,NA,Yes,"• Stelara (ustekinumab) 130 mg/26 mL singledose vial: 4 vials (1 dose)
• Stelara (ustekinumab) subcutaneous injection 45 mg/0.5 mL single-dose vial/prefilled syringe: 1 vial/syringe per 84 days, Exception limit: 2 vials/syringes per 28 days
• Stelara (ustekinumab) subcutaneous injection 90 mg/mL prefilled syringe: 1 syringe per 56 days, Exception limit: 2 syringes per 28 days",Dermatologist,12,12.0,Yes,Continuation requests for Plaque psoriasis (PsO) require chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.,50
378792-5004240.pdf,TREMFYA,>=18,"The step therapy requirements for TREMFYA in Plaque Psoriasis (moderate-to-severe) are as follows:

""The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. 

Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin. 

Member has a clinical reason to avoid pharmacologic treatment with methotrexate, cyclosporine, and acitretin (see Appendix).",1,"Based on the provided context, the extracted value for ""Number of Steps through Generic"" is:",No,Yes,"Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector: 
1 syringe/injector per 56 days 
Exception limit: 2 syringes/injectors per 28 days 
Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen: 
1 syringe/pen per 28 days 
Exception limit: 6 syringes/pens per 56 days 
Tremfya (guselkumab) 200 mg/2 mL prefilled pen Induction Pack for Crohn’s Disease: 
Exception limit: 3 cartons (6 pens) per 56 days",Dermatologist,12,12.0,Yes,"Continuation of Therapy for Plaque psoriasis (PsO)1-6: 
Authorization of 12 months may be granted for all adult members (including new members) 
who are using the requested medication for moderate to severe plaque psoriasis and who 
achieve or maintain a positive clinical response as evidenced by low disease activity or 
improvement in signs and symptoms of the condition when either of the following is met: 
•  Reduction in body surface area (BSA) affected from baseline 
•  Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, 
scaling, burning, cracking, pain)",50
250819-3621812.pdf,STELARA,NA,NA,NA,NA,NA,Yes,"NA

There is no mention of quantity limits for STELARA in the provided policy document context.",NA,NA,NA,NA,NA,50
250819-3621812.pdf,TREMFYA,NA,NA,NA,NA,NA,Yes,"NA

There is no mention of quantity limits for TREMFYA in the provided document context.",NA,NA,NA,NA,NA,50
296961-4569911.pdf,STELARA,NA,NA,NA,NA,NA,Yes,"NA

The provided document context does not contain any information about quantity limits for STELARA or its generic name. The section labeled ""Quantity Level Limit"" only references the need to check the formulary for drug-specific quantity level limits, but does not provide any specific information for STELARA.",Dermatologist,NA,NA,Yes,"1. Documentation of positive clinical response to therapy 
2. Patient is not receiving medication with another BRM 
3. Patient is monitored for active TB during treatment (where applicable) 
4.  Patient is monitored for lymphoma and other malignancies during treatment (where 
applicable)",50
