Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
330109-4880941.pdf,TREMFYA,FDA labelled age,"The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Documentation is required for approval. THREE preferred products: a preferred ustekinumab product, and TWO additional preferred products (a preferred adalimumab product OR Enbrel, Rinvoq, or Otezla). Authorization of 12 months may be granted for adult members who have previously received a biologic or targeted synthetic drug indicated for the treatment of moderate to severe plaque psoriasis. Chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected, and previous medications tried, including response to therapy, are required.",3,1,No,Yes,"Quantity Level Limit: 
• Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector:
  o 1 syringe/injector per 56 days
  o Exception limit: 2 syringes/injectors per 28 days
• Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen:
  o 1 syringe/pen per 28 days
  o Exception limit: 6 syringes/pens per 56 days
• Tremfya (guselkumab) 200 mg/2 mL prefilled pen Induction Pack for Crohn’s Disease:
  o Exception limit: 3 cartons (6 pens) per 56 days
* Coverage up to the exception limits may be provided with prior authorization",Dermatologist,12,12,Yes,"Continuation of Therapy 
Plaque psoriasis (PsO) 
Authorization of 12 months may be granted for all adult members (including new members) 
who are using the requested medication for moderate to severe plaque psoriasis and who 
achieve or maintain a positive clinical response as evidenced by low disease activity or 
improvement in signs and symptoms of the condition when either of the following is met: 
• Reduction in body surface area (BSA) affected from baseline
• Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, 
scaling, burning, cracking, pain)

Continuation requests 
Chart notes or medical record documentation of decreased body surface area (BSA) 
affected and/or improvement in signs and symptoms.",25
148593-4960549.pdf,STELARA,>=6,"For the treatment of chronic severe plaque psoriasis, member has a contraindication, intolerance or ineffective response to all of the following available equivalent alternative targeted immune modulators (one-month trial): both Ilumya, Stelara, and either Avsola, Inflectra, or Renflexis.",NA,1,No,NA,NA,Dermatologist,Unspecified,Unspecified,Yes,"For plaque psoriasis, Aetna considers continuation of ustekinumab, or its biosimilar, medically necessary for members who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline; or 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain).",50
305252-5002815.pdf,TREMFYA,FDA labelled age,"For guselkumab (Tremfya) to be considered medically necessary for the treatment of moderate to severe plaque psoriasis, the following step therapy criteria must be met: 
1. For adult members who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for the treatment of moderate to severe plaque psoriasis; or 
2. For adult members for treatment of moderate-to-severe plaque psoriasis when any of the following criteria is met. 

Additionally, this medication must be prescribed by or in consultation with a dermatologist for plaque psoriasis. 

Continuation of therapy is considered medically necessary when the member achieves or maintains positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition, including reduction in body surface area (BSA) affected from baseline or improvement in signs and symptoms from baseline.",NA,NA,No,Yes,NA,Dermatologist,Unspecified,Unspecified,Yes,"For all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
1. Reduction in body surface area (BSA) affected from baseline; or 
2. Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain);",50
176207-4867884.pdf,TREMFYA,FDA labelled age,"For TREMFYA in Plaque Psoriasis (moderate-to-severe), the step therapy requirements documented in the policy are:

Submission of the following information is necessary to initiate the prior authorization review:
- Chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected (if applicable).
- Chart notes, medical record documentation, or claims history supporting previous medications tried (if applicable), including response to therapy. If therapy is not advisable, documentation of clinical reason to avoid therapy.",NA,2,No,Yes,NA,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
Reduction in body surface area (BSA) affected from baseline 
Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain) 

Continuation requests: 
Chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.",50
324603-4962713.pdf,STELARA,>=6,"Authorization of 12 months may be granted for members 6 years of age and older who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for treatment of moderate to severe plaque psoriasis. 
Authorization of 12 months may be granted for members 6 years of age and older for treatment of moderate to severe plaque psoriasis when any of the following criteria is met: 
Crucial body areas (e.g., hands, feet, face, neck, scalp, genitals/groin, intertriginous areas) are affected.",1,1,No,Yes,NA,Dermatologist,12,12,Yes,"Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
Reduction in body surface area (BSA) affected from baseline 
Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)",50
378692-5003182.pdf,STELARA,>=6,"The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Documentation is required for approval. For Plaque psoriasis (PsO), initial requests require chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected, and previous medications tried, including response to therapy. Authorization of 12 months may be granted for members 6 years of age and older who have previously received a biologic or targeted synthetic drug indicated for treatment of moderate to severe plaque psoriasis, or when the patient meets specific criteria.",1,1,No,Yes,"• Stelara (ustekinumab) 130 mg/26 mL single-dose vial: 
  o 4 vials (1 dose) 
• Stelara (ustekinumab) subcutaneous injection 45 mg/0.5 mL single-dose vial/prefilled syringe 
  o 1 vial/syringe per 84 days 
  o Exception limit: 2 vials/syringes per 28 days 
• Stelara (ustekinumab) subcutaneous injection 90 mg/mL prefilled syringe 
  o 1 syringe per 56 days 
  o Exception limit: 2 syringes per 28 days",Dermatologist,12,12,Yes,"For STELARA, Psoriasis (PsO) / Plaque Psoriasis (moderate-to-severe), the reauthorization requirements documented in the policy are: 
""Authorization of 12 months may be granted for all members 6 years of age and older (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: 
• Reduction in body surface area (BSA) affected from baseline 
• Improvement in signs and symptoms from baseline (e.g., itching, redness, flaking, scaling, burning, cracking, pain)"" 
and 
""Chart notes or medical record documentation of decreased body surface area (BSA) affected and/or improvement in signs and symptoms.",50
378792-5004240.pdf,TREMFYA,FDA labelled age,"The patient is unable to take THREE preferred products, where indicated, for the given diagnosis due to a trial and inadequate treatment response or intolerance, or a contraindication. Documentation is required for approval. For plaque psoriasis (PsO), submission of the following information is necessary to initiate the prior authorization review: chart notes or medical record documentation of affected area(s) and body surface area (BSA) affected (if applicable), and chart notes, medical record documentation, or claims history supporting previous medications tried (if applicable), including response to therapy. If therapy is not advisable, documentation of clinical reason to avoid therapy.",3,3,No,Yes,"• Tremfya (guselkumab) 100 mg/mL prefilled syringe/One-press injector: 
o 1 syringe/injector per 56 days 
o Exception limit: 2 syringes/injectors per 28 days 
• Tremfya (guselkumab) 200 mg/2 mL prefilled syringe/pen: 
o 1 syringe/pen per 28 days 
o Exception limit: 6 syringes/pens per 56 days 
* Coverage up to the exception limits may be provided with prior authorization",Dermatologist,12,12,Yes,Authorization of 12 months may be granted for all adult members (including new members) who are using the requested medication for moderate to severe plaque psoriasis and who achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met: Reduction in body surface area (BSA) affected from baseline.,25
250819-3621812.pdf,STELARA,>=12,NA,NA,NA,No,Yes,NA,NA,1,NA,NA,NA,50
250819-3621812.pdf,TREMFYA,FDA labelled age,NA,NA,NA,No,Yes,"NA

There is no mention of quantity limits for TREMFYA in the provided policy document context.",NA,Unspecified,6,Yes,NA,50
296961-4569911.pdf,STELARA,>=6,NA,NA,NA,No,Yes,"NA

The provided document context does not contain any information about quantity limits for STELARA or its generic name. The sections labeled ""Quantity Level Limit"" or ""Quantity Limit"" only reference external sources (packet inserts) for other brands, but do not provide any quantity limit information for STELARA.",Dermatologist,Unspecified,6,Yes,"1. Documentation of positive clinical response to therapy 
2. Patient is not receiving medication with another BRM 
3. Patient is monitored for active TB during treatment (where applicable) 
4.  Patient is monitored for lymphoma and other malignancies during treatment (where 
applicable)",50
